layer                                     name  gradient   parameters                shape         mu      sigma
   44                  model.4.m.1.cv2.bn.bias      True           64                 [64]          0          0
   45                      model.5.conv.weight      True       294912     [256, 128, 3, 3]   2.28e-06      0.017
   46                        model.5.bn.weight      True          256                [256]          1          0
   47                          model.5.bn.bias      True          256                [256]          0          0
   48                  model.6.cv1.conv.weight      True        32768     [128, 256, 1, 1]  -0.000195      0.036
   49                    model.6.cv1.bn.weight      True          128                [128]          1          0
   50                      model.6.cv1.bn.bias      True          128                [128]          0          0
   51                  model.6.cv2.conv.weight      True        32768     [128, 256, 1, 1]   0.000389     0.0361
   52                    model.6.cv2.bn.weight      True          128                [128]          1          0
   53                      model.6.cv2.bn.bias      True          128                [128]          0          0
   54                  model.6.cv3.conv.weight      True        65536     [256, 256, 1, 1]    -0.0001      0.036
   55                    model.6.cv3.bn.weight      True          256                [256]          1          0
   56                      model.6.cv3.bn.bias      True          256                [256]          0          0
   57              model.6.m.0.cv1.conv.weight      True        16384     [128, 128, 1, 1]   0.000193     0.0511
   58                model.6.m.0.cv1.bn.weight      True          128                [128]          1          0
   59                  model.6.m.0.cv1.bn.bias      True          128                [128]          0          0
   60              model.6.m.0.cv2.conv.weight      True       147456     [128, 128, 3, 3]  -2.61e-05      0.017
   61                model.6.m.0.cv2.bn.weight      True          128                [128]          1          0
   62                  model.6.m.0.cv2.bn.bias      True          128                [128]          0          0
   63              model.6.m.1.cv1.conv.weight      True        16384     [128, 128, 1, 1]  -0.000158     0.0514
   64                model.6.m.1.cv1.bn.weight      True          128                [128]          1          0
   65                  model.6.m.1.cv1.bn.bias      True          128                [128]          0          0
   66              model.6.m.1.cv2.conv.weight      True       147456     [128, 128, 3, 3]  -5.97e-05      0.017
   67                model.6.m.1.cv2.bn.weight      True          128                [128]          1          0
   68                  model.6.m.1.cv2.bn.bias      True          128                [128]          0          0
   69              model.6.m.2.cv1.conv.weight      True        16384     [128, 128, 1, 1]   0.000531     0.0508
   70                model.6.m.2.cv1.bn.weight      True          128                [128]          1          0
   71                  model.6.m.2.cv1.bn.bias      True          128                [128]          0          0
   72              model.6.m.2.cv2.conv.weight      True       147456     [128, 128, 3, 3]  -1.24e-06      0.017
   73                model.6.m.2.cv2.bn.weight      True          128                [128]          1          0
   74                  model.6.m.2.cv2.bn.bias      True          128                [128]          0          0
   75                      model.7.conv.weight      True  1.17965e+06     [512, 256, 3, 3]  -7.97e-06      0.012
   76                        model.7.bn.weight      True          512                [512]          1          0
   77                          model.7.bn.bias      True          512                [512]          0          0
   78                  model.8.cv1.conv.weight      True       131072     [256, 512, 1, 1]  -5.48e-05     0.0255
   79                    model.8.cv1.bn.weight      True          256                [256]          1          0
   80                      model.8.cv1.bn.bias      True          256                [256]          0          0
   81                  model.8.cv2.conv.weight      True       131072     [256, 512, 1, 1]  -7.11e-05     0.0255
   82                    model.8.cv2.bn.weight      True          256                [256]          1          0
   83                      model.8.cv2.bn.bias      True          256                [256]          0          0
   84                  model.8.cv3.conv.weight      True       262144     [512, 512, 1, 1]   7.05e-05     0.0255
   85                    model.8.cv3.bn.weight      True          512                [512]          1          0
   86                      model.8.cv3.bn.bias      True          512                [512]          0          0
   87              model.8.m.0.cv1.conv.weight      True        65536     [256, 256, 1, 1]  -0.000228     0.0361
   88                model.8.m.0.cv1.bn.weight      True          256                [256]          1          0
   89                  model.8.m.0.cv1.bn.bias      True          256                [256]          0          0
   90              model.8.m.0.cv2.conv.weight      True       589824     [256, 256, 3, 3]  -1.66e-05      0.012
   91                model.8.m.0.cv2.bn.weight      True          256                [256]          1          0
   92                  model.8.m.0.cv2.bn.bias      True          256                [256]          0          0
   93                  model.9.cv1.conv.weight      True       131072     [256, 512, 1, 1]   2.89e-05     0.0255
   94                    model.9.cv1.bn.weight      True          256                [256]          1          0
   95                      model.9.cv1.bn.bias      True          256                [256]          0          0
   96                  model.9.cv2.conv.weight      True       524288    [512, 1024, 1, 1]   9.95e-07      0.018
   97                    model.9.cv2.bn.weight      True          512                [512]          1          0
   98                      model.9.cv2.bn.bias      True          512                [512]          0          0
   99                     model.10.conv.weight      True       131072     [256, 512, 1, 1]  -4.97e-05     0.0256
  100                       model.10.bn.weight      True          256                [256]          1          0
  101                         model.10.bn.bias      True          256                [256]          0          0
  102                 model.13.cv1.conv.weight      True        65536     [128, 512, 1, 1]   0.000138     0.0255
  103                   model.13.cv1.bn.weight      True          128                [128]          1          0
  104                     model.13.cv1.bn.bias      True          128                [128]          0          0
  105                 model.13.cv2.conv.weight      True        65536     [128, 512, 1, 1]  -0.000176     0.0255
  106                   model.13.cv2.bn.weight      True          128                [128]          1          0
  107                     model.13.cv2.bn.bias      True          128                [128]          0          0
  108                 model.13.cv3.conv.weight      True        65536     [256, 256, 1, 1]  -0.000145      0.036
  109                   model.13.cv3.bn.weight      True          256                [256]          1          0
  110                     model.13.cv3.bn.bias      True          256                [256]          0          0
  111             model.13.m.0.cv1.conv.weight      True        16384     [128, 128, 1, 1]  -9.55e-05     0.0511
  112               model.13.m.0.cv1.bn.weight      True          128                [128]          1          0
  113                 model.13.m.0.cv1.bn.bias      True          128                [128]          0          0
  114             model.13.m.0.cv2.conv.weight      True       147456     [128, 128, 3, 3]   2.67e-05      0.017
  115               model.13.m.0.cv2.bn.weight      True          128                [128]          1          0
  116                 model.13.m.0.cv2.bn.bias      True          128                [128]          0          0
  117                     model.14.conv.weight      True        32768     [128, 256, 1, 1]    9.3e-06      0.036
  118                       model.14.bn.weight      True          128                [128]          1          0
  119                         model.14.bn.bias      True          128                [128]          0          0
  120                 model.17.cv1.conv.weight      True        16384      [64, 256, 1, 1]   0.000203     0.0362
  121                   model.17.cv1.bn.weight      True           64                 [64]          1          0
  122                     model.17.cv1.bn.bias      True           64                 [64]          0          0
  123                 model.17.cv2.conv.weight      True        16384      [64, 256, 1, 1]   -0.00018     0.0362
  124                   model.17.cv2.bn.weight      True           64                 [64]          1          0
  125                     model.17.cv2.bn.bias      True           64                 [64]          0          0
  126                 model.17.cv3.conv.weight      True        16384     [128, 128, 1, 1]  -0.000158      0.051
  127                   model.17.cv3.bn.weight      True          128                [128]          1          0
  128                     model.17.cv3.bn.bias      True          128                [128]          0          0
  129             model.17.m.0.cv1.conv.weight      True         4096       [64, 64, 1, 1]    0.00201     0.0727
  130               model.17.m.0.cv1.bn.weight      True           64                 [64]          1          0
  131                 model.17.m.0.cv1.bn.bias      True           64                 [64]          0          0
  132             model.17.m.0.cv2.conv.weight      True        36864       [64, 64, 3, 3]  -0.000111      0.024
  133               model.17.m.0.cv2.bn.weight      True           64                 [64]          1          0
  134                 model.17.m.0.cv2.bn.bias      True           64                 [64]          0          0
  135                     model.18.conv.weight      True       147456     [128, 128, 3, 3]   1.41e-05      0.017
  136                       model.18.bn.weight      True          128                [128]          1          0
  137                         model.18.bn.bias      True          128                [128]          0          0
  138                 model.20.cv1.conv.weight      True        32768     [128, 256, 1, 1]  -0.000341     0.0361
  139                   model.20.cv1.bn.weight      True          128                [128]          1          0
  140                     model.20.cv1.bn.bias      True          128                [128]          0          0
  141                 model.20.cv2.conv.weight      True        32768     [128, 256, 1, 1]  -4.07e-05     0.0361
  142                   model.20.cv2.bn.weight      True          128                [128]          1          0
  143                     model.20.cv2.bn.bias      True          128                [128]          0          0
  144                 model.20.cv3.conv.weight      True        65536     [256, 256, 1, 1]  -4.43e-05      0.036
  145                   model.20.cv3.bn.weight      True          256                [256]          1          0
  146                     model.20.cv3.bn.bias      True          256                [256]          0          0
  147             model.20.m.0.cv1.conv.weight      True        16384     [128, 128, 1, 1]   1.79e-05     0.0512
  148               model.20.m.0.cv1.bn.weight      True          128                [128]          1          0
  149                 model.20.m.0.cv1.bn.bias      True          128                [128]          0          0
  150             model.20.m.0.cv2.conv.weight      True       147456     [128, 128, 3, 3]   2.05e-05      0.017
  151               model.20.m.0.cv2.bn.weight      True          128                [128]          1          0
  152                 model.20.m.0.cv2.bn.bias      True          128                [128]          0          0
  153                     model.21.conv.weight      True       589824     [256, 256, 3, 3]   2.58e-06      0.012
  154                       model.21.bn.weight      True          256                [256]          1          0
  155                         model.21.bn.bias      True          256                [256]          0          0
  156                 model.23.cv1.conv.weight      True       131072     [256, 512, 1, 1]   5.46e-05     0.0255
  157                   model.23.cv1.bn.weight      True          256                [256]          1          0
  158                     model.23.cv1.bn.bias      True          256                [256]          0          0
  159                 model.23.cv2.conv.weight      True       131072     [256, 512, 1, 1]   0.000123     0.0255
  160                   model.23.cv2.bn.weight      True          256                [256]          1          0
  161                     model.23.cv2.bn.bias      True          256                [256]          0          0
  162                 model.23.cv3.conv.weight      True       262144     [512, 512, 1, 1]   9.15e-05     0.0255
  163                   model.23.cv3.bn.weight      True          512                [512]          1          0
  164                     model.23.cv3.bn.bias      True          512                [512]          0          0
  165             model.23.m.0.cv1.conv.weight      True        65536     [256, 256, 1, 1]  -0.000131     0.0361
  166               model.23.m.0.cv1.bn.weight      True          256                [256]          1          0
  167                 model.23.m.0.cv1.bn.bias      True          256                [256]          0          0
  168             model.23.m.0.cv2.conv.weight      True       589824     [256, 256, 3, 3]  -2.36e-05      0.012
  169               model.23.m.0.cv2.bn.weight      True          256                [256]          1          0
  170                 model.23.m.0.cv2.bn.bias      True          256                [256]          0          0
  171                      model.24.m.0.weight      True         4224      [33, 128, 1, 1]  -0.000875      0.051
  172                        model.24.m.0.bias      True           33                 [33]      -1.76       1.86
  173                      model.24.m.1.weight      True         8448      [33, 256, 1, 1]  -0.000682     0.0358
  174                        model.24.m.1.bias      True           33                 [33]      -1.63       1.56
  175                      model.24.m.2.weight      True        16896      [33, 512, 1, 1]   0.000169     0.0255
  176                        model.24.m.2.bias      True           33                 [33]      -1.51       1.27
