layer                                     name  gradient   parameters                shape         mu      sigma
   59                  model.6.m.0.cv1.bn.bias      True          104                [104]          0          0
   60              model.6.m.0.cv2.conv.weight      True        97344     [104, 104, 3, 3]  -4.21e-05     0.0188
   61                model.6.m.0.cv2.bn.weight      True          104                [104]          1          0
   62                  model.6.m.0.cv2.bn.bias      True          104                [104]          0          0
   63              model.6.m.1.cv1.conv.weight      True        10816     [104, 104, 1, 1]    0.00123     0.0567
   64                model.6.m.1.cv1.bn.weight      True          104                [104]          1          0
   65                  model.6.m.1.cv1.bn.bias      True          104                [104]          0          0
   66              model.6.m.1.cv2.conv.weight      True        97344     [104, 104, 3, 3]   3.31e-05     0.0189
   67                model.6.m.1.cv2.bn.weight      True          104                [104]          1          0
   68                  model.6.m.1.cv2.bn.bias      True          104                [104]          0          0
   69              model.6.m.2.cv1.conv.weight      True        10816     [104, 104, 1, 1]   0.000164     0.0565
   70                model.6.m.2.cv1.bn.weight      True          104                [104]          1          0
   71                  model.6.m.2.cv1.bn.bias      True          104                [104]          0          0
   72              model.6.m.2.cv2.conv.weight      True        97344     [104, 104, 3, 3]  -1.49e-05     0.0189
   73                model.6.m.2.cv2.bn.weight      True          104                [104]          1          0
   74                  model.6.m.2.cv2.bn.bias      True          104                [104]          0          0
   75                      model.7.conv.weight      True       778752     [416, 208, 3, 3]  -2.13e-05     0.0133
   76                        model.7.bn.weight      True          416                [416]          1          0
   77                          model.7.bn.bias      True          416                [416]          0          0
   78                  model.8.cv1.conv.weight      True        86528     [208, 416, 1, 1]    0.00019     0.0283
   79                    model.8.cv1.bn.weight      True          208                [208]          1          0
   80                      model.8.cv1.bn.bias      True          208                [208]          0          0
   81                  model.8.cv2.conv.weight      True        86528     [208, 416, 1, 1]   9.18e-05     0.0284
   82                    model.8.cv2.bn.weight      True          208                [208]          1          0
   83                      model.8.cv2.bn.bias      True          208                [208]          0          0
   84                  model.8.cv3.conv.weight      True       173056     [416, 416, 1, 1]  -8.95e-06     0.0283
   85                    model.8.cv3.bn.weight      True          416                [416]          1          0
   86                      model.8.cv3.bn.bias      True          416                [416]          0          0
   87              model.8.m.0.cv1.conv.weight      True        43264     [208, 208, 1, 1]  -0.000178       0.04
   88                model.8.m.0.cv1.bn.weight      True          208                [208]          1          0
   89                  model.8.m.0.cv1.bn.bias      True          208                [208]          0          0
   90              model.8.m.0.cv2.conv.weight      True       389376     [208, 208, 3, 3]  -1.62e-05     0.0133
   91                model.8.m.0.cv2.bn.weight      True          208                [208]          1          0
   92                  model.8.m.0.cv2.bn.bias      True          208                [208]          0          0
   93                  model.9.cv1.conv.weight      True        86528     [208, 416, 1, 1]   0.000154     0.0283
   94                    model.9.cv1.bn.weight      True          208                [208]          1          0
   95                      model.9.cv1.bn.bias      True          208                [208]          0          0
   96                  model.9.cv2.conv.weight      True       346112     [416, 832, 1, 1]   9.73e-06       0.02
   97                    model.9.cv2.bn.weight      True          416                [416]          1          0
   98                      model.9.cv2.bn.bias      True          416                [416]          0          0
   99                     model.10.conv.weight      True        86528     [208, 416, 1, 1]   -0.00014     0.0283
  100                       model.10.bn.weight      True          208                [208]          1          0
  101                         model.10.bn.bias      True          208                [208]          0          0
  102                 model.13.cv1.conv.weight      True        43264     [104, 416, 1, 1]  -0.000107     0.0283
  103                   model.13.cv1.bn.weight      True          104                [104]          1          0
  104                     model.13.cv1.bn.bias      True          104                [104]          0          0
  105                 model.13.cv2.conv.weight      True        43264     [104, 416, 1, 1]   0.000217     0.0283
  106                   model.13.cv2.bn.weight      True          104                [104]          1          0
  107                     model.13.cv2.bn.bias      True          104                [104]          0          0
  108                 model.13.cv3.conv.weight      True        43264     [208, 208, 1, 1]   0.000187     0.0401
  109                   model.13.cv3.bn.weight      True          208                [208]          1          0
  110                     model.13.cv3.bn.bias      True          208                [208]          0          0
  111             model.13.m.0.cv1.conv.weight      True        10816     [104, 104, 1, 1]  -0.000842     0.0569
  112               model.13.m.0.cv1.bn.weight      True          104                [104]          1          0
  113                 model.13.m.0.cv1.bn.bias      True          104                [104]          0          0
  114             model.13.m.0.cv2.conv.weight      True        97344     [104, 104, 3, 3]  -9.94e-05     0.0189
  115               model.13.m.0.cv2.bn.weight      True          104                [104]          1          0
  116                 model.13.m.0.cv2.bn.bias      True          104                [104]          0          0
  117                     model.14.conv.weight      True        21632     [104, 208, 1, 1]    0.00052       0.04
  118                       model.14.bn.weight      True          104                [104]          1          0
  119                         model.14.bn.bias      True          104                [104]          0          0
  120                 model.17.cv1.conv.weight      True        10816      [52, 208, 1, 1]  -4.84e-05     0.0401
  121                   model.17.cv1.bn.weight      True           52                 [52]          1          0
  122                     model.17.cv1.bn.bias      True           52                 [52]          0          0
  123                 model.17.cv2.conv.weight      True        10816      [52, 208, 1, 1]  -0.000172       0.04
  124                   model.17.cv2.bn.weight      True           52                 [52]          1          0
  125                     model.17.cv2.bn.bias      True           52                 [52]          0          0
  126                 model.17.cv3.conv.weight      True        10816     [104, 104, 1, 1]  -0.000744     0.0563
  127                   model.17.cv3.bn.weight      True          104                [104]          1          0
  128                     model.17.cv3.bn.bias      True          104                [104]          0          0
  129             model.17.m.0.cv1.conv.weight      True         2704       [52, 52, 1, 1]   -0.00178     0.0794
  130               model.17.m.0.cv1.bn.weight      True           52                 [52]          1          0
  131                 model.17.m.0.cv1.bn.bias      True           52                 [52]          0          0
  132             model.17.m.0.cv2.conv.weight      True        24336       [52, 52, 3, 3]   0.000233     0.0267
  133               model.17.m.0.cv2.bn.weight      True           52                 [52]          1          0
  134                 model.17.m.0.cv2.bn.bias      True           52                 [52]          0          0
  135                     model.18.conv.weight      True        97344     [104, 104, 3, 3]   -7.1e-05     0.0188
  136                       model.18.bn.weight      True          104                [104]          1          0
  137                         model.18.bn.bias      True          104                [104]          0          0
  138                 model.20.cv1.conv.weight      True        21632     [104, 208, 1, 1]  -0.000188     0.0402
  139                   model.20.cv1.bn.weight      True          104                [104]          1          0
  140                     model.20.cv1.bn.bias      True          104                [104]          0          0
  141                 model.20.cv2.conv.weight      True        21632     [104, 208, 1, 1]   0.000224       0.04
  142                   model.20.cv2.bn.weight      True          104                [104]          1          0
  143                     model.20.cv2.bn.bias      True          104                [104]          0          0
  144                 model.20.cv3.conv.weight      True        43264     [208, 208, 1, 1]   0.000315     0.0399
  145                   model.20.cv3.bn.weight      True          208                [208]          1          0
  146                     model.20.cv3.bn.bias      True          208                [208]          0          0
  147             model.20.m.0.cv1.conv.weight      True        10816     [104, 104, 1, 1]   0.000602     0.0565
  148               model.20.m.0.cv1.bn.weight      True          104                [104]          1          0
  149                 model.20.m.0.cv1.bn.bias      True          104                [104]          0          0
  150             model.20.m.0.cv2.conv.weight      True        97344     [104, 104, 3, 3]   9.01e-05     0.0189
  151               model.20.m.0.cv2.bn.weight      True          104                [104]          1          0
  152                 model.20.m.0.cv2.bn.bias      True          104                [104]          0          0
  153                     model.21.conv.weight      True       389376     [208, 208, 3, 3]  -1.44e-05     0.0133
  154                       model.21.bn.weight      True          208                [208]          1          0
  155                         model.21.bn.bias      True          208                [208]          0          0
  156                 model.23.cv1.conv.weight      True        86528     [208, 416, 1, 1]      3e-05     0.0284
  157                   model.23.cv1.bn.weight      True          208                [208]          1          0
  158                     model.23.cv1.bn.bias      True          208                [208]          0          0
  159                 model.23.cv2.conv.weight      True        86528     [208, 416, 1, 1]   -8.6e-06     0.0283
  160                   model.23.cv2.bn.weight      True          208                [208]          1          0
  161                     model.23.cv2.bn.bias      True          208                [208]          0          0
  162                 model.23.cv3.conv.weight      True       173056     [416, 416, 1, 1]  -3.23e-05     0.0283
  163                   model.23.cv3.bn.weight      True          416                [416]          1          0
  164                     model.23.cv3.bn.bias      True          416                [416]          0          0
  165             model.23.m.0.cv1.conv.weight      True        43264     [208, 208, 1, 1]   -0.00036       0.04
  166               model.23.m.0.cv1.bn.weight      True          208                [208]          1          0
  167                 model.23.m.0.cv1.bn.bias      True          208                [208]          0          0
  168             model.23.m.0.cv2.conv.weight      True       389376     [208, 208, 3, 3]   -5.4e-06     0.0133
  169               model.23.m.0.cv2.bn.weight      True          208                [208]          1          0
  170                 model.23.m.0.cv2.bn.bias      True          208                [208]          0          0
  171                      model.24.m.0.weight      True         3432      [33, 104, 1, 1]   0.000335     0.0561
  172                        model.24.m.0.bias      True           33                 [33]      -1.78       1.87
  173                      model.24.m.1.weight      True         6864      [33, 208, 1, 1]   0.000104       0.04
  174                        model.24.m.1.bias      True           33                 [33]      -1.64       1.55
  175                      model.24.m.2.weight      True        13728      [33, 416, 1, 1]   0.000309     0.0281
  176                        model.24.m.2.bias      True           33                 [33]      -1.51       1.27
